key,language,value
fund_service,ar,خدمات الصندوق
virtual_cards_banner_text,ar,تطبيق البطاقة الافتراضية
navigator_life,ar,الحياة .
home_cards,ar,بطاقة
home_search_tips,ar,البحث عن الكلمات الرئيسية .
life_search_tips,ar,البحث عن الكلمات الرئيسية .
my_service,ar,خدمة بلدي
virtual_cards_title,ar,البطاقة الافتراضية
home_main_title3,ar,عمليات التحويل الأخيرة
life_mini_apps,ar,برنامج صغير
cards_cards,ar,بطاقة
cards_banner_title,ar,ربط بطاقة جديدة
navigator_home,ar,الصفحة الرئيسية
home_my,ar,ا { ك
life_service,ar,خدمة الحياة
home_main_button,ar,عرض الكل
life_mini_apps,en,Mini Apps
cards_banner_title,en,Bind New Card
home_cards,en,Cards
cards_cards,en,Cards
home_search_tips,en,Keyword search...
my_service,en,My Service
virtual_cards_title,en,Virtual Cards
fund_service,en,Fund Service
virtual_cards_banner_text,en,Virtual card application
navigator_home,en,Home
navigator_life,en,Life
home_my,en,My
life_search_tips,en,Keyword search...
life_service,en,Life Service
home_main_button,en,View all
home_main_title3,en,Recent Transactions
life_search_tips,zh_CN,关键字搜索...
life_mini_apps,zh_CN,小程序
virtual_cards_banner_text,zh_CN,申请虚拟卡
cards_cards,zh_CN,卡片
cards_banner_title,zh_CN,绑定新卡
home_search_tips,zh_CN,关键词搜索...
home_my,zh_CN,我的
virtual_cards_title,zh_CN,虚拟卡
fund_service,zh_CN,基金服务
home_cards,zh_CN,卡片
navigator_home,zh_CN,首页
navigator_life,zh_CN,生活
my_service,zh_CN,我的服务
life_service,zh_CN,生活服务
home_main_button,zh_CN,查看全部
home_main_title3,zh_CN,最近的交易
