icon	width_dp	height_dp	viewportW	viewportH
history_transaction_icon_error	26	26	26	26
history_transaction_icon_info	26	26	26	26
history_transaction_icon_success	51	52	51	52
ic_frequents_empty_state	134	57	134	57
ic_frequents_empty_state_mini_apps	39	39	39	39
ic_frequents_empty_state_pay	23	22	23	22
ic_frequents_empty_state_send	24	24	24	24
ic_frequents_empty_state_withdraw	23	23	23	23
ic_lipa_na_bonga	21	21	21	21
ic_notifications	20	20	20	20
ic_one_app_action_send_to_bank	26	26	26	26
ic_one_app_action_send_to_mobile	26	26	26	26
ic_one_app_action_send_to_western_union	26	26	26	26
ic_one_app_search	16	16	16	16
ic_postpay_bill	20	20	20	20
ic_request_money	20	20	20	20
ic_scan_to_pay	36	36	36	36
ic_statement_buy_goods	37	36	37	36
ic_statement_pay_bill	37	36	37	36
icon_hide_balance	20	17	20	17
icon_pin_scan	15	15	15	15
icon_sfc_about_app	23	23	23	23
icon_sfc_add_favourites	22	22	22	22
icon_sfc_airtime	18	19	18	19
icon_sfc_appearance	25	25	25	25
icon_sfc_biometric_authentication	20	21	20	21
icon_sfc_blocked_businesses	25	25	25	25
icon_sfc_buy_bundles	24	24	24	24
icon_sfc_check_my_usage	25	25	25	25
icon_sfc_download_receipt	22	22	22	22
icon_sfc_find_a_safaricom_shop	25	25	25	25
icon_sfc_forget_pin	60	60	60	60
icon_sfc_fuliza	24	24	24	24
icon_sfc_get_help	25	25	25	25
icon_sfc_get_puk	28	28	28	28
icon_sfc_home_fibre	24	24	24	24
icon_sfc_manage_favorites	24	25	24	25
icon_sfc_manage_my_line	32	32	32	32
icon_sfc_mange_service_pin	25	25	25	25
icon_sfc_mpesa_global	27	24	27	24
icon_sfc_mpesa_pay	23	21	23	21
icon_sfc_mtandao	24	24	24	24
icon_sfc_my_coupons	24	25	24	25
icon_sfc_my_subscriptions	24	24	24	24
icon_sfc_offline_mode	20	21	20	21
icon_sfc_pochi	24	24	24	24
icon_sfc_report_fraud	25	24	25	24
icon_sfc_request_e_sim	25	24	25	24
icon_sfc_reverse_transaction	22	22	22	22
icon_sfc_sambaza	22	22	22	22
icon_sfc_security_center	25	25	25	25
icon_sfc_send_money	24	24	24	24
icon_sfc_share_app	25	25	25	25
icon_sfc_sim_card	20	22	20	22
icon_sfc_tunukiwa	24	24	24	24
icon_sfc_withdraw_at_agent	23	23	23	23
